ElementID,ParamID,Meaning,ValueType,SafeOrTypicalRange,Notes,ObservedValues,ObservedInFiles
Equalizer,Band 8 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Gain Scaling Amount,Global gain scaling of EQ curve,percent float,80..120,100 means neutral scaling; >100 amplifies EQ moves,"100,00000000; 107,76698303",Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml; Za_Hutorom_Ozone12_ModernPop_Streaming_Start.xml
Exciter,Band 1 Active,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Exciter,Band 2 Active,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Exciter,Band 3 Active,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Auto Gain Enable,Auto gain compensation,bool,1,Usually keep on,1,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml; Za_Hutorom_Ozone12_ModernPop_Streaming_Start.xml
Impact,Aux: Envelope,Aux/envelope mirror used by Impact,percent float,same as Envelope,Patch together with Envelope when both exist,"45,00000000; 50,00000000; 55,00000000; 58,00000000; 60,00000000; 72,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Aux: HostSyncEnvelopeEnabled,Host sync envelope toggle,bool,0,Leave unless intentionally syncing,0,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Band 1 Amount,Impact per-band amount,percent/amount float,-20..+45 depending band,"Positive can enhance/shape, negative can soften; high top band can click","-10,00000000; -2,00000000; -6,00000000; -8,00000000; 10,00000000; 14,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Band 2 Amount,Impact per-band amount,percent/amount float,-20..+45 depending band,"Positive can enhance/shape, negative can soften; high top band can click","12,00000000; 17,00000000; 22,00000000; 28,00000000; 42,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Band 3 Amount,Impact per-band amount,percent/amount float,-20..+45 depending band,"Positive can enhance/shape, negative can soften; high top band can click","14,00000000; 16,00000000; 19,00000000; 24,00000000; 30,00000000; 46,00000000; 8,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Band 4 Amount,Impact per-band amount,percent/amount float,-20..+45 depending band,"Positive can enhance/shape, negative can soften; high top band can click","0,00000000; 12,00000000; 18,00000000; 2,00000000; 3,00000000; 4,00000000; 5,99999237; 6,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Crossover Cutoff 1,Impact crossover 1,Hz float,80..160,Separates low band,"120,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Crossover Cutoff 2,Impact crossover 2,Hz float,1500..3500,Separates low-mid/high-mid,"2000,00000000; 2200,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Crossover Cutoff 3,Impact crossover 3,Hz float,8000..12000,Separates high band,"10000,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,Envelope,Envelope amount / response intensity,percent float,45..65,High values can exaggerate attacks,"45,00000000; 50,00000000; 55,00000000; 58,00000000; 60,00000000; 72,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Impact,GlobalAmount,Global Impact amount,percent float,18..40,Higher = stronger transient/sustain shaping; too high can pump/click,"18,00000000; 23,00000000; 24,00000000; 28,00000000; 32,00000000; 34,00000000; 44,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Low End Focus,Auto Gain Enable,Auto gain compensation,bool,1,Module not default active chain,1,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml
Master Rebalance,Auto Gain Enable,Auto gain compensation,bool,1,Usually keep on,1,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml; Za_Hutorom_Ozone12_ModernPop_Streaming_Start.xml
Master Rebalance,SourceGain,"Gain for selected stem source, dB",dB float,-1.0..+1.0 for mastered stereo WAV,Main level control for selected SourceType; moderate only,"0,30000000; 0,39999962; 0,40000000; 0,50000000; 0,70000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Master Rebalance,SourceType,Selected source/focus enum,enum int,verify in GUI,Enum must be verified; observed values 0/2 in current presets,0; 2,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,Character,Limiter character/speed,float,2.0..3.0,Too fast can distort/pump; too slow may miss transients,"2,20000000; 2,50000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,EnableLowLevelBoost,Upward Compress enable,bool,1 or 0,Adds density; keep moderate,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,Gain,Main input gain into Maximizer,dB float,"1.0..3.5 streaming, more only as loud probe",Most important loudness control,"1,20000000; 2,60000000; 3,00000000; 3,21384764",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,LowLevelBoostWetAmount,Upward Compress amount,dB/amount float,0.5..1.3,High values can thicken/noise,"0,80000000; 1,00000000; 1,10000000; 1,25000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,Margin,Output/Ceiling,dB float,"-2.0 streaming safe, -1.5 loud, -1.0 risky",True peak ceiling target,"-1,00000000; -1,50000000; -2,00001144",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,Mode,IRC mode enum,enum int,3 observed as неподтверждённое название другого IRC4-режима in current work,Verify with GUI/template,3,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,Prevent Intersample Clipping,True Peak / intersample peak protection,bool,1,Keep on for streaming master,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,Soft Clip Amount,Soft Clip amount,percent float,0,Avoid by default for streaming-safe,"0,00000000",Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml; Za_Hutorom_Ozone12_ModernPop_Streaming_Start.xml
Maximizer,Soft Clip Enable,Soft Clip enable,bool,0 by default,Off unless loud probe,0,Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml; Za_Hutorom_Ozone12_ModernPop_Streaming_Start.xml
Maximizer,Stereo Link,Stereo independence/link amount,percent float,50..70,Lower can widen limiter behavior; too low may wobble image,"50,00000000; 60,00000000; 70,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,Stereo Transient Link Amount,Transient link amount,percent float,50..70,Controls transient stereo linking,"50,00000000; 60,00000000; 70,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Maximizer,Target Loudness [dB],Target loudness hint,LUFS float,-12.5..-11.5,Not enough alone; must set Gain and measure rendered WAV,"-11,50000000; -11,80000000; -12,00000000; -12,50000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Post Equalizer,Band 1 Q,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"2,23000002",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Post Equalizer,Band 7 Frequency,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"6000,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Post Equalizer,Band 7 Q,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"2,23000002",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Spectral Shaper,Auto Gain Enable,Auto gain compensation,bool,1,Module not default active chain,1,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml
Stabilizer,Amount,Stabilizer amount,percent float,8..24,Tonal stabilization; too high can become sterile/bright,"14,00000000; 15,00000000; 16,00000000; 20,00000000; 22,00000000; 9,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stabilizer,Auto Gain Enable,Auto gain compensation,bool,1,Usually keep on,1,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml; Za_Hutorom_Ozone12_ModernPop_Streaming_Start.xml
Stabilizer,Target,Target profile enum/curve,enum int,verify in GUI,Do not change blindly; observed 10/27,10; 27,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stem EQ,Auto Gain Enable,Auto gain compensation,bool,1,Module not default active chain,1,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml
Stereo Imager,Active Band,Selected active band in GUI,enum int,leave,GUI state,3,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Aux: Band 1 Width Percent,Sustain band width,percent float,sustain can be wider than transient,In T/S mode this is sustain branch,"-5,00000000; 0,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml; Dochenka_FINAL_Ozone12_Streaming_WideB_ImpactOpt_Open.xml
Stereo Imager,Aux: Band 2 Width Percent,Sustain band width,percent float,sustain can be wider than transient,In T/S mode this is sustain branch,"12,00000000; 20,00000000; 22,00000000; 30,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml; Dochenka_FINAL_Ozone12_Streaming_WideB_ImpactOpt_Open.xml
Stereo Imager,Aux: Band 3 Width Percent,Sustain band width,percent float,sustain can be wider than transient,In T/S mode this is sustain branch,"50,00000000; 68,00000000; 72,00000000; 90,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml; Dochenka_FINAL_Ozone12_Streaming_WideB_ImpactOpt_Open.xml
Stereo Imager,Aux: Band 4 Width Percent,Sustain band width,percent float,sustain can be wider than transient,In T/S mode this is sustain branch,"35,00000000; 48,00000000; 52,00000000; 70,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml; Dochenka_FINAL_Ozone12_Streaming_WideB_ImpactOpt_Open.xml
Stereo Imager,Aux: Recover Sides Enabled,Sustain Recover Sides enable,bool,1 if used,For T/S sustain branch,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml; Dochenka_FINAL_Ozone12_Streaming_WideB_ImpactOpt_Open.xml
